woy,Hemisphere,age_group,within_variation,sd,se,ci
4,Northern,10-19,0.493368585902667,0.110086333941895,0.000537428687054583,0.00105337125752861
4,Northern,20-29,0.48832978231694,0.113217914682491,0.000367553825852616,0.000720401450868919
4,Northern,30-39,0.493607724216446,0.118245918883538,0.000497719851997197,0.000975533904405323
4,Northern,40-49,0.499734992731426,0.120690554131107,0.000776454173418153,0.00152189845936204
4,Northern,Over 50,0.490245407304518,0.121960365215816,0.00044524428002374,0.000872676830963819
4,Southern,10-19,0.515138201503852,0.0969248993541705,0.000704391606548775,0.00138067044441018
4,Southern,20-29,0.511916458863446,0.099451407153516,0.000478868388205338,0.000938591134051176
4,Southern,30-39,0.519676825512256,0.105218902347641,0.000679340794272431,0.00133155067611911
4,Southern,40-49,0.521868017946358,0.108667591993918,0.00123830173601764,0.00242740836842513
4,Southern,Over 50,0.510333933425527,0.110039931227167,0.000793277625518652,0.00155489338699763
5,Northern,10-19,0.492076129593329,0.108690221355037,0.000522627666810967,0.00102436007129533
5,Northern,20-29,0.487502616879769,0.112388928236406,0.000361747779697218,0.000709021510574067
5,Northern,30-39,0.492448172020324,0.117992571665121,0.000491810783254374,0.000963951692943479
5,Northern,40-49,0.497400520492313,0.120204937541826,0.000765217557889699,0.00149987242588384
5,Northern,Over 50,0.489900379886721,0.120682967735761,0.000437463919335007,0.000857427163204814
5,Southern,10-19,0.513109259211612,0.0960687074481576,0.00068671326893212,0.00134601652311
5,Southern,20-29,0.512621212962004,0.0975583179355601,0.000464537085185276,0.000910500943696762
5,Southern,30-39,0.520865439152374,0.104793925614336,0.000665428677327943,0.00130427989720751
5,Southern,40-49,0.521610975579029,0.108694687444359,0.00121418160508659,0.00238011173192615
5,Southern,Over 50,0.509724833038163,0.108973028257223,0.000777922472986184,0.00152479408521458
6,Northern,10-19,0.491853117793713,0.108123510935137,0.000514122462867064,0.00100768908775354
6,Northern,20-29,0.487690502510144,0.110976586352613,0.000354885765274166,0.000695571928046507
6,Northern,30-39,0.492739225637632,0.117049243730928,0.000484789225140283,0.00095018915024244
6,Northern,40-49,0.498576740565319,0.120050418586134,0.000757902514648209,0.00148553329879473
6,Northern,Over 50,0.491120841701692,0.120694129679625,0.000433845709213925,0.000850335263639176
6,Southern,10-19,0.512644884271307,0.095428404261567,0.00067238123622587,0.00131792220283633
6,Southern,20-29,0.512034758872042,0.0979082183728712,0.000460868322393297,0.000903309539282009
6,Southern,30-39,0.519961977995285,0.105481962417336,0.000662897452849358,0.00129931724632074
6,Southern,40-49,0.51938629217819,0.107438783910542,0.00119031587516836,0.00233332293897422
6,Southern,Over 50,0.509224438442711,0.109543660829771,0.000774764995827019,0.00151860343738323
7,Northern,10-19,0.491515413674001,0.107312062666216,0.000506053877029016,0.000991874071210446
7,Northern,20-29,0.485985153094768,0.111026940370499,0.000355259381010137,0.000696304220821319
7,Northern,30-39,0.491806818638288,0.116586471118201,0.000482529146044327,0.000945759356716308
7,Northern,40-49,0.497527019264488,0.12040219981594,0.000759639109791179,0.00148893703543638
7,Northern,Over 50,0.490657651836219,0.12065233442191,0.000432470645005478,0.000847640070390239
7,Southern,10-19,0.51199597159797,0.0942909426013029,0.000657179477959375,0.00128812384770223
7,Southern,20-29,0.512239893183962,0.0989238887340836,0.00046308094541668,0.000907646049237213
7,Southern,30-39,0.520224995863245,0.105728583671836,0.000663465440869898,0.00130043035199044
7,Southern,40-49,0.521332041099898,0.110406553192734,0.00121664268698579,0.00238492642220875
7,Southern,Over 50,0.508363615938808,0.112669599207104,0.000800081893641628,0.00156822741609629
8,Northern,10-19,0.490654814388889,0.106737390057197,0.000501872828651465,0.000983678991847398
8,Northern,20-29,0.486378331617139,0.109042816798107,0.000346331758538609,0.000678806061572143
8,Northern,30-39,0.490387820984386,0.116224163966004,0.000477006041099602,0.000934933722553846
8,Northern,40-49,0.495485899892113,0.117545648658968,0.000737256794732429,0.00144506557399286
8,Northern,Over 50,0.488525413069384,0.11919556838209,0.000425622461281384,0.000834217569607839
8,Southern,10-19,0.509714623530837,0.0927664112310175,0.000637739308436404,0.00125001758450646
8,Southern,20-29,0.511923693046279,0.097400103962923,0.000448634090835931,0.000879329241240076
8,Southern,30-39,0.521092440549826,0.10563310640365,0.000652753013343547,0.00127943153230874
8,Southern,40-49,0.520022827810183,0.107812913887949,0.00117465844387169,0.00230261912410721
8,Southern,Over 50,0.509438434711344,0.109378377679264,0.000764304649248371,0.00149809812733592
9,Northern,10-19,0.490611428064719,0.106054211893512,0.000494093781726222,0.000968431459523525
9,Northern,20-29,0.487465145475574,0.108984023713653,0.000344077353764329,0.000674387357376475
9,Northern,30-39,0.491595944062116,0.114590664171382,0.00046779883447625,0.000916887362787201
9,Northern,40-49,0.496760668725817,0.117652258247179,0.000733324164772653,0.00143735654292741
9,Northern,Over 50,0.489192260318193,0.118896292545485,0.000422050818413722,0.00082721702009271
9,Southern,10-19,0.50803824071763,0.0925364082355016,0.000628279414574595,0.00123147373818767
9,Southern,20-29,0.509537303330337,0.096796240450938,0.000439760361485405,0.000861936003869966
9,Southern,30-39,0.51883716217913,0.104042971804318,0.000635046186714512,0.0012447237838559
9,Southern,40-49,0.518605989930153,0.108414105436512,0.00116635006902663,0.00228632445274855
9,Southern,Over 50,0.507173381529106,0.109200906356283,0.000754997307588735,0.00147985315490704
10,Northern,10-19,0.490750887571743,0.106399242678523,0.000492320080705371,0.000964954633396935
10,Northern,20-29,0.487000002427646,0.108837074323333,0.00034224479763119,0.000670795505682756
10,Northern,30-39,0.491756354656948,0.115272654066769,0.000467765543471115,0.000916821891506683
10,Northern,40-49,0.496184599841588,0.118273842164226,0.000732082679501434,0.00143492222874104
10,Northern,Over 50,0.488853593152676,0.119554187467316,0.000422999960979234,0.000829077251237306
10,Southern,10-19,0.507782991896798,0.0909580370488062,0.000607359467473149,0.00119046693027066
10,Southern,20-29,0.50906953356901,0.0953757236936899,0.000426243456095043,0.000835442019310914
10,Southern,30-39,0.517888530421969,0.103326352355977,0.000618765047793769,0.00121280985313679
10,Southern,40-49,0.517264945976063,0.10536561266622,0.00110837508719212,0.00217266627843996
10,Southern,Over 50,0.50654261557795,0.10822080652837,0.00073573646249643,0.00144209764632401
11,Northern,10-19,0.490104558651427,0.106388934916844,0.000487136788943753,0.000954794791357167
11,Northern,20-29,0.487823651485628,0.108634795424597,0.00034035568454123,0.000667092809282663
11,Northern,30-39,0.492511281533495,0.114162262616795,0.000460984247597767,0.000903530354440964
11,Northern,40-49,0.498151344406345,0.115840833019053,0.000713721954263619,0.0013989336036154
11,Northern,Over 50,0.489322867306595,0.117742581790269,0.000414514611776365,0.000812445898038023
11,Southern,10-19,0.508436775487924,0.0897261347854775,0.000588573761989215,0.00115364346129386
11,Southern,20-29,0.510029314440949,0.0957439028790286,0.00042257552898352,0.00082825234626967
11,Southern,30-39,0.520017031748738,0.101917834418614,0.000603042995143987,0.00118199264058073
11,Southern,40-49,0.517408699852396,0.104754915002752,0.00109054640014816,0.00213771211492176
11,Southern,Over 50,0.50808669597886,0.107496804225473,0.000720013300519246,0.00141127677422474
12,Northern,10-19,0.491112337149586,0.104207865157359,0.000472118823425448,0.000925358880223075
12,Northern,20-29,0.488463153073462,0.107101236620439,0.000334049327937666,0.000654732361143976
12,Northern,30-39,0.492698854990834,0.11314402459909,0.000454437652344827,0.000890698823407697
12,Northern,40-49,0.497569366687252,0.116786249193401,0.000714172114047953,0.00139981498375327
12,Northern,Over 50,0.490124594685126,0.117080876921919,0.000410446424948668,0.000804472177158494
12,Southern,10-19,0.510455857357965,0.0888435874106751,0.000574393067583113,0.00112584668667972
12,Southern,20-29,0.511769157517468,0.0939235674507258,0.000410134851599646,0.000803868090905738
12,Southern,30-39,0.520587269423239,0.101988598219319,0.000598732525525662,0.00117354314088137
