woy,Hemisphere,gender,within_variation,sd,se,ci
36,Northern,F,0.487238707,0.099579366,0.000213808,0.000419059
36,Northern,M,0.491896427,0.100581443,0.000214047,0.000419526
36,Southern,F,0.520365053,0.114910705,0.000636529,0.001247621
36,Southern,M,0.51195486,0.116685979,0.000630532,0.001235864
37,Northern,F,0.487228566,0.099277968,0.000211865,0.00041525
37,Northern,M,0.491285004,0.100588094,0.000212602,0.000416694
37,Southern,F,0.521183571,0.114623756,0.000631941,0.001238628
37,Southern,M,0.513222933,0.117401397,0.000631309,0.001237386
38,Northern,F,0.487239494,0.099682557,0.000211297,0.000414137
38,Northern,M,0.490931825,0.10092009,0.000211511,0.000414556
38,Southern,F,0.517138126,0.114404111,0.000623931,0.001222926
38,Southern,M,0.510746636,0.1172181,0.000626638,0.00122823
39,Northern,F,0.484992454,0.098419658,0.000206825,0.000405372
39,Northern,M,0.48947626,0.100928946,0.000210179,0.000411945
39,Southern,F,0.518448229,0.109779062,0.000587255,0.001151039
39,Southern,M,0.510151187,0.110329101,0.000575451,0.0011279
40,Northern,F,0.483976316,0.098287939,0.000205271,0.000402327
40,Northern,M,0.488766446,0.100556179,0.000208113,0.000407896
40,Southern,F,0.515651985,0.109629327,0.000569367,0.001115975
40,Southern,M,0.509586383,0.111792944,0.000561257,0.001100076
41,Northern,F,0.483104934,0.097923453,0.000203386,0.000398631
41,Northern,M,0.488212939,0.09993526,0.000205508,0.00040279
41,Southern,F,0.515066318,0.106957275,0.000537807,0.001054114
41,Southern,M,0.508299696,0.108483598,0.000526514,0.001031978
42,Northern,F,0.483740071,0.097766067,0.000201638,0.000395205
42,Northern,M,0.488272171,0.099589971,0.000202994,0.000397863
42,Southern,F,0.514339893,0.106335844,0.000529716,0.001038256
42,Southern,M,0.509023421,0.107138759,0.000514046,0.001007539
43,Northern,F,0.484712225,0.097390337,0.000199576,0.000391163
43,Northern,M,0.488605161,0.099481293,0.000201499,0.000394933
43,Southern,F,0.516848374,0.105455822,0.000518062,0.001015412
43,Southern,M,0.511148399,0.107300903,0.000507715,0.000995129
44,Northern,F,0.486115626,0.097992377,0.000199784,0.000391572
44,Northern,M,0.489155745,0.100196375,0.000201566,0.000395064
44,Southern,F,0.514945675,0.107610202,0.000526131,0.001031228
44,Southern,M,0.509970886,0.107871725,0.000508563,0.000996792
45,Northern,F,0.486608704,0.098370987,0.000199336,0.000390694
45,Northern,M,0.489370671,0.100574746,0.000200832,0.000393625
45,Southern,F,0.512773511,0.106165853,0.000513106,0.001005698
45,Southern,M,0.506930768,0.107341192,0.000498615,0.000977292
46,Northern,F,0.485200586,0.098591782,0.000198383,0.000388826
46,Northern,M,0.488140775,0.100419366,0.000199299,0.000390621
46,Southern,F,0.514480171,0.105414585,0.000503484,0.000986837
46,Southern,M,0.50758736,0.107165956,0.000492729,0.000965755
47,Northern,F,0.485622477,0.097260593,0.000193777,0.000379797
47,Northern,M,0.488053833,0.098930233,0.000194543,0.000381298
47,Southern,F,0.514132216,0.104859627,0.000495764,0.000971706
47,Southern,M,0.50707027,0.105832948,0.000482421,0.000945552
48,Northern,F,0.487429636,0.096981232,0.000192116,0.000376542
48,Northern,M,0.489327226,0.099307622,0.000193918,0.000380073
48,Southern,F,0.515284043,0.104589796,0.000484498,0.000949623
48,Southern,M,0.507717274,0.104303683,0.00046612,0.000913601
49,Northern,F,0.48632374,0.096303112,0.000188837,0.000370116
49,Northern,M,0.488502849,0.098022611,0.000189661,0.000371731
49,Southern,F,0.514352959,0.104479076,0.000479792,0.000940399
49,Southern,M,0.506566142,0.105997375,0.000471095,0.000923351
50,Northern,F,0.485994475,0.095826019,0.000186235,0.000365015
50,Northern,M,0.487923023,0.09751089,0.000186769,0.000366062
50,Southern,F,0.513721743,0.10429487,0.000474475,0.000929976
50,Southern,M,0.507412693,0.105602453,0.000465534,0.000912452
51,Northern,F,0.484740231,0.095865138,0.000185012,0.000362618
51,Northern,M,0.486669916,0.097095512,0.000184564,0.00036174
51,Southern,F,0.515100152,0.104913607,0.000473541,0.000928146
51,Southern,M,0.507173581,0.104819207,0.000458049,0.00089778
52,Northern,F,0.484526143,0.117353666,0.000248828,0.000487697
52,Northern,M,0.486719523,0.119874093,0.00024909,0.00048821
52,Southern,F,0.519635226,0.126490132,0.000631072,0.001236915
52,Southern,M,0.511917545,0.12830875,0.000610461,0.001196515
