hours,dow,within_variation,sd,se,ci
20,Wed,0.491301263,0.1286048,0.000158366,0.000310391
20,Thu,0.495269563,0.127969482,0.000156636,0.000307001
20,Fri,0.502985192,0.127890939,0.000155835,0.000305431
20,Sat,0.513312355,0.130025258,0.000159282,0.000312187
20,Sun,0.497329346,0.133014425,0.000167775,0.000328833
21,Mon,0.486575139,0.133381574,0.000170137,0.000333463
21,Tue,0.487567652,0.132575733,0.000168285,0.000329834
21,Wed,0.488722815,0.132537814,0.000167516,0.000328327
21,Thu,0.493208919,0.131772024,0.000165341,0.000324063
21,Fri,0.50220376,0.131184122,0.000162979,0.000319433
21,Sat,0.513025975,0.132878992,0.000165794,0.000324951
21,Sun,0.494506768,0.136626302,0.000177333,0.000347567
22,Mon,0.482546514,0.138897484,0.000186585,0.000365701
22,Tue,0.483396507,0.138019856,0.000184156,0.00036094
22,Wed,0.485306072,0.138187392,0.00018336,0.00035938
22,Thu,0.489677565,0.13696469,0.000179754,0.000352311
22,Fri,0.50000354,0.134831582,0.000172711,0.000338508
22,Sat,0.51202245,0.13629407,0.000174387,0.000341794
22,Sun,0.489819819,0.141443007,0.000192426,0.000377148
23,Mon,0.477452923,0.1462263,0.000215152,0.000421692
23,Tue,0.478088704,0.145800897,0.000212684,0.000416854
23,Wed,0.480075372,0.144726495,0.000209188,0.000410002
23,Thu,0.485146311,0.144222324,0.000204954,0.000401704
23,Fri,0.497031382,0.140039231,0.000189552,0.000371516
23,Sat,0.509692209,0.140825898,0.000188443,0.000369342
23,Sun,0.485115121,0.147392494,0.000217591,0.000426472
