doy,Hemisphere,within_variation,sd,se,ci
82,Southern,0.950682054,0.854014044,0.004516254,0.008851996
83,Northern,0.839222663,0.895662107,0.002150432,0.004214799
83,Southern,0.96671316,0.841968918,0.004383531,0.008591845
84,Northern,0.845723349,0.885074776,0.002131949,0.004178573
84,Southern,0.996511617,0.813753948,0.004205461,0.008242818
85,Northern,0.84848336,0.885007991,0.00214773,0.004209503
85,Southern,0.960382394,0.852215587,0.004593437,0.009003287
86,Northern,0.864036579,0.872571239,0.002153794,0.004221391
86,Southern,0.983173554,0.834514274,0.004489752,0.00880006
87,Northern,0.819034264,0.907951445,0.002317643,0.004542534
87,Southern,0.95192116,0.84959826,0.004688978,0.009190566
88,Northern,0.816592202,0.903703768,0.002193533,0.004299277
88,Southern,0.947350756,0.853761362,0.004474741,0.008770623
89,Northern,0.824141114,0.895439996,0.002140309,0.004194958
89,Southern,0.938253311,0.850487888,0.004425125,0.00867337
90,Northern,0.832326813,0.889792457,0.002108057,0.004131744
90,Southern,0.947937719,0.846480655,0.00423712,0.008304854
91,Northern,0.843460731,0.886252671,0.002087248,0.004090959
91,Southern,0.952610503,0.846183124,0.004168036,0.00816944
92,Northern,0.872435356,0.858461866,0.002002187,0.003924239
92,Southern,0.978860598,0.82671585,0.003978506,0.007797946
93,Northern,0.881494016,0.859574665,0.002071661,0.00406041
93,Southern,1.000813703,0.819150642,0.00406013,0.007957944
94,Northern,0.84175135,0.891574238,0.002190118,0.004292583
94,Southern,0.961000888,0.859780577,0.004393962,0.008612279
95,Northern,0.831670217,0.879941745,0.002082488,0.004081629
95,Southern,0.936462124,0.861826798,0.004215787,0.008263029
96,Northern,0.837687248,0.883346852,0.002070233,0.004057609
96,Southern,0.931566942,0.849797142,0.004114047,0.008063612
97,Northern,0.835388779,0.882190679,0.002056271,0.004030244
97,Southern,0.944598588,0.855670488,0.004137732,0.008110034
98,Northern,0.845336055,0.878476832,0.002040983,0.00400028
98,Southern,0.956147918,0.846342484,0.004054873,0.007947626
99,Northern,0.869967325,0.857177431,0.001969326,0.003859833
99,Southern,0.980216677,0.831597176,0.003915534,0.007674512
100,Northern,0.87812051,0.853506139,0.002019309,0.003957799
100,Southern,1.0063614,0.809185727,0.003924343,0.007691789
101,Northern,0.835344502,0.891817089,0.002163006,0.004239444
101,Southern,0.961554906,0.850902663,0.004305403,0.008438695
102,Northern,0.822621056,0.887625001,0.002069793,0.004056746
102,Southern,0.933617411,0.858365382,0.004166037,0.008165515
103,Northern,0.830429611,0.883104851,0.002038199,0.003994822
103,Southern,0.935834006,0.859659228,0.004104379,0.008044657
104,Northern,0.837971417,0.88109264,0.002028746,0.003976295
104,Southern,0.937422489,0.856172031,0.00408424,0.008005184
105,Northern,0.84800149,0.870315453,0.001996604,0.003913296
105,Southern,0.952430222,0.844552546,0.003986711,0.007814021
106,Northern,0.876617594,0.855549469,0.001944255,0.003810693
106,Southern,0.97916821,0.828306453,0.003844488,0.007535254
107,Northern,0.884103453,0.851284974,0.001990527,0.003901387
107,Southern,1.001463556,0.821648892,0.00395733,0.007756443
108,Northern,0.844219796,0.885776128,0.002126249,0.004167401
108,Southern,0.964668511,0.856720486,0.004402304,0.008628633
109,Northern,0.828523082,0.887340492,0.002052841,0.004023521
109,Southern,0.940401126,0.864898353,0.004172026,0.008177251
110,Northern,0.839826308,0.86945433,0.002000973,0.00392186
