woy,Hemisphere,dist_code,within_variation,sd,se,ci
48,Southern,"(30,60]",1.053840779,0.625051609,0.004749435,0.009309372
49,Northern,"(0,30]",0.85724788,0.602227174,0.001679319,0.003291435
49,Northern,"(30,60]",0.741176759,0.632040767,0.001013765,0.001986949
49,Northern,"(60,90]",0.710148756,0.66346168,0.006672423,0.01307931
49,Southern,"(0,30]",0.934575908,0.629823908,0.002219893,0.004350975
49,Southern,"(30,60]",1.054368634,0.623311198,0.004705207,0.009222673
50,Northern,"(0,30]",0.855110799,0.601917541,0.001666556,0.00326642
50,Northern,"(30,60]",0.71609789,0.635524921,0.001008727,0.001977074
50,Northern,"(60,90]",0.691548666,0.664155898,0.006655885,0.01304688
50,Southern,"(0,30]",0.936188616,0.62694215,0.002189057,0.004290535
50,Southern,"(30,60]",1.051283859,0.615137275,0.004617138,0.009050042
51,Northern,"(0,30]",0.857371347,0.598378963,0.001645464,0.003225079
51,Northern,"(30,60]",0.708299364,0.634833484,0.001000069,0.001960105
51,Northern,"(60,90]",0.655748046,0.676851913,0.006753005,0.013237242
51,Southern,"(0,30]",0.931768982,0.629451912,0.002179888,0.004272564
51,Southern,"(30,60]",1.065350571,0.589001685,0.004381284,0.008587734
52,Northern,"(0,30]",0.860600855,0.6959259,0.002101364,0.004118643
52,Northern,"(30,60]",0.706372058,0.741393258,0.001278987,0.002506777
52,Northern,"(60,90]",0.659728251,0.785022441,0.008600694,0.016859501
52,Southern,"(0,30]",0.954500973,0.720174441,0.002733961,0.005358559
52,Southern,"(30,60]",1.111613157,0.6911662,0.005650321,0.011075322
